s_L,s_R,b2,b1,b0,a3,a2,a1,a0
0.0300,0.4800,0.000000,1.016406,1.017777,1.000000,1.039334,1.012872,1.022886
0.0300,0.4900,0.000000,1.014287,1.015485,1.000000,1.034171,1.011152,1.019861
0.0300,0.5000,0.000000,1.013530,1.014622,1.000000,1.032421,1.010557,1.018841
0.0400,0.0000,0.000000,1.011195,1.011940,1.000000,1.032720,0.989308,1.020182
0.0400,0.0100,0.000000,1.012076,1.012870,1.000000,1.034641,0.990604,1.021180
0.0400,0.0200,0.000000,1.011680,1.012471,1.000000,1.033666,0.989836,1.020609
0.0400,0.0300,0.000000,1.011200,1.011881,1.000000,1.033307,0.990636,1.020815
0.0400,0.0400,0.000000,1.013259,1.014277,1.000000,1.036307,0.991783,1.021585
0.0400,0.0500,0.000000,1.011989,1.012870,1.000000,1.033980,0.989323,1.020547
0.0400,0.0600,0.000000,1.011690,1.012576,1.000000,1.033213,0.988644,1.020078
0.0400,0.0700,0.000000,1.013020,1.013896,1.000000,1.035770,0.991862,1.021362
0.0400,0.0800,0.000000,1.012525,1.013393,1.000000,1.034588,0.990928,1.020684
0.0400,0.0900,0.000000,1.011519,1.012466,1.000000,1.032631,0.987430,1.019618
0.0400,0.1000,0.000000,1.012796,1.013720,1.000000,1.035067,0.990849,1.020853
0.0400,0.1100,0.000000,1.011819,1.012825,1.000000,1.033120,0.987431,1.019765
0.0400,0.1200,0.000000,1.013164,1.014145,1.000000,1.035699,0.991169,1.021087
0.0400,0.1300,0.000000,1.012073,1.013014,1.000000,1.034263,0.988906,1.020693
0.0400,0.1400,0.000000,1.011521,1.012453,1.000000,1.032965,0.987785,1.019955
0.0400,0.1500,0.000000,1.012757,1.013663,1.000000,1.035247,0.991130,1.021081
0.0400,0.1600,0.000000,1.013240,1.014192,1.000000,1.036152,0.991725,1.021486
0.0400,0.1700,0.000000,1.012033,1.013060,1.000000,1.033693,0.987853,1.020121
