s_L,s_R,b2,b1,b0,a3,a2,a1,a0
0.0300,0.0400,0.000000,1.495662,0.712068,1.000000,0.089576,0.000000,0.000000
0.0300,0.0500,0.000000,1.496833,0.711650,1.000000,0.089386,0.000000,0.000000
0.0300,0.0600,0.000000,1.495843,0.712137,1.000000,0.089530,0.000000,0.000000
0.0300,0.0700,0.000000,1.510591,0.707132,1.000000,0.084613,0.000000,0.000000
0.0300,0.0800,0.000000,1.505886,0.709058,1.000000,0.085541,0.000000,0.000000
0.0300,0.0900,0.000000,1.500748,0.711203,1.000000,0.086542,0.000000,0.000000
0.0300,0.1000,0.000000,1.512744,0.707393,1.000000,0.082003,0.000000,0.000000
0.0300,0.1100,0.000000,1.525843,0.703199,1.000000,0.077170,0.000000,0.000000
0.0300,0.1200,0.000000,1.518145,0.706544,1.000000,0.078285,0.000000,0.000000
0.0300,0.1300,0.000000,1.509649,0.710248,1.000000,0.079478,0.000000,0.000000
0.0300,0.1400,0.000000,1.440375,0.740114,1.000000,0.087857,0.000001,0.000000
0.0300,0.1500,0.000000,1.413096,0.751613,1.000000,0.090409,0.000000,0.000000
0.0300,0.1600,0.000000,1.420118,0.749591,1.000000,0.086370,0.000000,0.000000
0.0300,0.1700,0.000000,1.435423,0.745107,1.000000,0.082203,0.000000,0.000000
0.0300,0.1800,0.000000,1.415326,0.753809,1.000000,0.083991,0.000000,0.000000
0.0300,0.1900,0.000000,1.419250,0.753335,1.000000,0.080561,0.000000,0.000000
0.0300,0.2000,0.000000,1.422300,0.753237,1.000000,0.077302,0.000000,0.000000
0.0300,0.2100,0.000000,1.408742,0.759929,1.000000,0.078898,0.000000,0.000000
0.0300,0.2200,0.000000,1.410484,0.760598,1.000000,0.075728,0.000000,0.000000
0.0300,0.2300,0.000000,1.411331,0.761671,1.000000,0.072674,0.000000,0.000000
0.0300,0.2400,0.000000,1.394925,0.769380,1.000000,0.074280,0.000000,0.000000
0.0300,0.2500,0.000000,1.392533,0.771885,1.000000,0.071673,0.000000,0.000000
0.0300,0.2600,0.000000,1.388010,0.775297,1.000000,0.069371,0.000000,0.000000
0.0300,0.2700,0.000000,1.382886,0.778732,1.000000,0.066958,0.000000,0.000000
0.0300,0.2800,0.000000,1.377360,0.782801,1.000000,0.064590,0.000000,0.000000
